Question;Option A;Option B;Option C;Option D;Answer;Annex;Unnamed: 7;Unnamed: 8;Unnamed: 9
FPP-001 - A flight plan has been filed for a flight departing at an uncontrolled aerodrome. When has the actual take-off time been transmitted to ATC?;Upon request from ATC.;When landing is assured.;Immediately after take-off.;At deviation from expected off-block time by more than 15 min.;Immediately after take-off.;;;;
FPP-002 - During a flight with a flight plan submitted, landing is conducted at an airfield other than the destination stated in the filed flight plan. Who has to be contacted by the pilot immediately?;Local office for aerial supervision.;The flight manager on duty.;Aeronautical Information Service (AIS).;The police department.;Aeronautical Information Service (AIS).;;;;
FPP-003 - Exceeding the maximum allowed aircraft mass is...;not permissible and essentially dangerous.;only relevant if the excess is more than 10 %.;compensated by the pilot's control inputs.;exceptionally permissible to avoid delays.;not permissible and essentially dangerous.;;;;
FPP-004 - The center of gravity has to be located...;between the front and the rear C.G. limit.;behind the rear C.G. limit.;in front of the front C.G. limit.;right of the lateral C. G. limit.;between the front and the rear C.G. limit.;;;;
FPP-005 - The result of a rear C.G. position is...;an increased fuel consumption.;a decrease of range.;a decrease of stability.;an increased stall speed.;a decrease of stability.;;;;
FPP-006 - An aircraft must be loaded and operated in such a way that the center of gravity (CG) stays within the approved limits during all phases of flight. This is done to ensure...;that the aircraft does not exceed the maximum permissible airspeed during a descent.;that the aircraft does not stall.;that the aircraft does not tip over on its tail while it is being loaded.;both stability and controllability of the aircraft.;both stability and controllability of the aircraft.;;;;
FPP-007 - The result of a front C.G. position is: 1. Increase in stability. 2. Increase in fuel consumption. 3. Increase in stall speed. 4. Increase in range.;2, 4;1, 2;1, 2, 3;2, 3, 4;1, 2, 3;;;;
FPP-008 - The basic empty mass of an aircraft includes...;the total mass of the aeroplane ready for a specific type of operation excluding unusable fuel and traffic load. The mass includes items such as crew and crew baggage.;the total mass of an aeroplane ready for a specific type of operation including the required fuel and crew, but excluding traffic load.;the mass of the aeroplane plus standard items such as unusable fuel and other unusable liquids, lubricating oil in engine and auxiliary units, fire extinguishers, pyrotechnics, emergency oxygen equipment, supplementary electronic equipment.;the total mass of the aeroplane ready for a specific type of operation including crew, navigation instruments and engine cowling.;the mass of the aeroplane plus standard items such as unusable fuel and other unusable liquids, lubricating oil in engine and auxiliary units, fire extinguishers, pyrotechnics, emergency oxygen equipment, supplementary electronic equipment.;;;;
FPP-009 - The empty weight and the corresponding center of gravity (CG) of an aircraft are initially determined...;by weighing.;through data provided by the aircraft manufacturer.;by calculation.;for one aircraft of a type only, since all aircraft of the same type have the same mass and CG position.;by weighing.;;;;
FPP-010 - The density of AVGAS 100LL at 15° C is...;0.68 kg/l.;1.0 kg/l.;0.82 kg/l.;0.72 kg/l.;0.72 kg/l.;;;;
FPP-011 - The conversion factor from kilogram [kg] into pounds [lb] is...;kg x 2 = lb.;kg x 2.205 = lb.;kg / 2.205 = lb.;kg x 0.454 = lb.;kg x 2.205 = lb.;;;;
FPP-012 - Baggage and cargo must be properly stowed and fastened, otherwise a shift of the cargo may cause...;continuous attitudes which can be corrected by the pilot using the flight controls.;structural damage, angle of attack stability, velocity stability.;uncontrollable attitudes, structural damage, risk of injuries.;calculable instability if the C.G. is shifting by less than 10 %.;uncontrollable attitudes, structural damage, risk of injuries.;;;;
FPP-013 - Loads must be adequately secured in order to...;carry extra fuel.;allow steep turns.;avoid any centre of gravity (C.G.) movements.;prevent excessive 'g'-loading during the landing flare.;avoid any centre of gravity (C.G.) movements.;;;;
FPP-014 - The total weight of an aeroplane is acting vertically through the...;stagnation point.;neutral point.;center of pressure.;center of gravity.;center of gravity.;;;;
"FPP-015 - The term ""center of gravity"" is defined as...";the heaviest point on an aeroplane.;half the distance between the neutral point and the datum line.;another designation for the neutral point.;the point at which the total mass of the aeroplane is considered to act.;the point at which the total mass of the aeroplane is considered to act.;;;;
FPP-016 - The center of gravity (CG) defines...;the point on the longitudinal axis or its extension from which the centers of gravity of all masses are referenced.;the point through which the force of gravity is said to act on a mass.;the distance from the datum to the position of a mass.;the product of mass and balance arm.;the point through which the force of gravity is said to act on a mass.;;;;
FPP-017 - During an unaccelerated flight...;drag equals lift and thrust equals gravity.;thrust equals the sum of drag and gravity.;thrust equals lift and drag equals gravity.;thrust equals drag and lift equals gravity.;thrust equals drag and lift equals gravity.;;;;
"FPP-018 - The term ""datum"" with regard to a mass and balance calculation defines...";the point on the lateral axis of an aeroplane or its extension from which the centers of gravity of all masses are referenced.;the point on the vertical axis of an aeroplane or its extension from which the centers of gravity of all masses are referenced.;the point on the longitudinal axis of an aeroplane or its extension from which the centers of gravity of all masses are referenced.;the distance from the reference plane to the center of gravity of an aircraft.;the point on the longitudinal axis of an aeroplane or its extension from which the centers of gravity of all masses are referenced.;;;;
"FPP-019 - The term ""moment"" with regard to a mass and balance calculation is referred to as...";sum of a mass and a balance arm.;quotient of a mass and a balance arm.;difference of a mass and a balance arm.;product of a mass and a balance arm.;product of a mass and a balance arm.;;;;
"FPP-020 - The term ""balance arm"" in the context of a mass and balance calculation defines the...";distance from the datum to the center of gravity of a mass.;distance of a mass from the center of gravity.;point on the longitudinal axis of an aeroplane or its extension from which the centers of gravity of all masses are referenced.;point through which the force of gravity is said to act on a mass.;distance from the datum to the center of gravity of a mass.;;;;
FPP-021 - The distance between the center of gravity and the datum is called...;span width.;balance arm.;lever.;torque.;balance arm.;;;;
FPP-022 - The balance arm is the horizontal distance between...;the front C.G. limit and the datum line.;the C.G. of a mass and the rear C.G. limit.;the C.G. of a mass and the datum line.;the front C.G. limit and the rear C.G. limit.;the C.G. of a mass and the datum line.;;;;
FPP-023 - The required data for a mass and balance calculation including masses and balance arms can be found in the...;performance section of the pilot's operating handbook of this particular aircraft.;mass and balance section of the pilot's operating handbook of this particular aircraft.;documentation of the annual inspection.;certificate of airworthiness.;mass and balance section of the pilot's operating handbook of this particular aircraft.;;;;
FPP-024 - When preparing to carry out the weighing procedure on an aircraft, which of the following is required?;Drain all engine tank oil;Remove service equipment;Drain all usable fuel;Remove the batteries;Drain all usable fuel;;;;
FPP-025 - Which section of the flight manual describes the basic empty mass of an aircraft?;Normal procedures;Limitations;Performance;Weight and balance;Weight and balance;;;;
FPP-026 - The position of the center of gravity equals...;147.5 in.;145.7 in.;142 in.;137.5 in.;142 in.;static/images/fpp/pfp-052e.png;;;
FPP-027 - What mass equals 102 litres of Avgas 100LL?;142 lbs;74 lbs;142 kg;74 kg;74 kg;;;;
FPP-028 - Calculated take-off mass = 2300 lbs, calculated CG = 95.75 in, fuel burn = 170 lbs on station 87.00 in. Where is the CG situated after the landing?;97.39 in;96.45 in;94.11 in;96.57 in;96.45 in;;;;
FPP-029 - Given values: Calculated take-off mass = 746 kg, calculated CG = 37.1 cm, fuel burn = 30.5 l on station 45 cm. Where is the CG situated after the landing?;37.2 cm;37.5 cm;36.3 cm;36.9 cm;36.9 cm;;;;
FPP-030 - Calculated take-off mass = 1082 kg, calculated CG = 0.254 m, fuel burn = 55 l on station 0.40 m. Where is the CG situated after the landing?;24.6 cm;25.2 cm;25.4 cm;24.8 cm;24.8 cm;;;;
FPP-031 - The position of the center of gravity (including fuel) equals...;37.1 cm.;0.401 m.;37.3 cm.;0.403 m.;37.1 cm.;static/images/fpp/pfp-053e.png;;;
FPP-032 - For the purpose of a flight preparation, the pilot calculates a total take-off mass of 750 kg and a total moment of 625 mmkg. Which cross marks the center of gravity (CG)?;4;2;1;3;1;static/images/fpp/pfp-003.png;;;
FPP-033 - For the purpose of a flight preparation the pilot calculates a total take-off mass of 725 kg and a total moment of 650 mmkg. Which cross marks the center of gravity (CG)?;1;2;4;3;3;static/images/fpp/pfp-004.png;;;
FPP-034 - For the purpose of a flight preparation the pilot calculates a total take-off mass of 775 kg and a total moment of 700 mmkg. Which cross marks the center of gravity (CG)?;3;2;4;1;4;static/images/fpp/pfp-005.png;;;
FPP-035 - Which is the most recently determined empty mass and the associated center of gravity (CG) arm from the aircraft documentation?;5 kg, 1.3 m;4 kg, 1.1 m;498 kg, 280.59 m;512 kg, 285.39 m;498 kg, 280.59 m;static/images/fpp/pfp-006.png;;;
FPP-036 - How does the aircraft configuration influence take-off performance while all other parameters remaining constant?;Aircraft B has a higher tyre pressure than aircraft A;Aircraft A has a higher tyre pressure than aircraft B;Aircraft B has a higher flap setting than aircraft A;Aircraft A has a higher flap setting than aircraft B;Aircraft A has a higher flap setting than aircraft B;static/images/fpp/pfp-007.png;;;
FPP-037 - How does aircraft flap configuration influence the take-off performance?;A higher flap setting decreases ground roll and increases lift-off speed and climb performance;A higher flap setting decreases ground roll and lift-off speed and increases climb performance;A higher flap setting increases ground roll, lift-off speed, and climb performance;A higher flap setting decreases ground roll and lift-off speed, but also climb performance;A higher flap setting decreases ground roll and lift-off speed, but also climb performance;;;;
FPP-038 - How does wind affect the take-off performance?;Tailwind aids the aircraft in overcoming the initial drag at the commencement of the take-off roll. The take-off distance will decrease;Tailwind reduces the relative wind on the airfoil. The take-off distance will increase;Headwind causes an increased airflow around the wing. The take-off distance will increase;Headwind imposes an increased drag on the aircraft. The take-off distance will increase;Tailwind reduces the relative wind on the airfoil. The take-off distance will increase;;;;
FPP-039 - It is possible that the surface wind speed at an airport is reduced due to friction. When a surface area with a minor tailwind condition is left during the initial climb, the pilot might expect...;an increase in airspeed and rate of climb due to decreasing tailwind.;a decrease in airspeed and climb performance due to decreasing tailwind.;an increase in airspeed and rate of climb due to increasing tailwind.;a decrease in airspeed and rate of climb due to increasing tailwind.;a decrease in airspeed and rate of climb due to increasing tailwind.;;;;
FPP-040 - Which factor shortens landing distance?;High pressure altitude;Strong headwind;Heavy rain;High density altitude;Strong headwind;;;;
FPP-041 - Unless the aircraft is equipped and certified accordingly...;flight into known or forecast icing conditions is only allowed as long as it is ensured that the aircraft can still be operated without performance degradation.;flight into forecast icing conditions is prohibited. Should the aircraft enter an area of icing conditions inadvertently, the flight may be continued as long as visual meteorological conditions are maintained.;flight into known or forecast icing conditions is prohibited. Should the aircraft enter an area of icing conditions inadvertently, it should be left without delay.;flight into areas of precipitation is prohibited.;flight into known or forecast icing conditions is prohibited. Should the aircraft enter an area of icing conditions inadvertently, it should be left without delay.;;;;
FPP-042 - The speed Vx means...;that a given altitude is reached within minimum distance.;that a given altitude is reached within minimum flight time.;maximum altitude gain per 10 % power.;that a given altitude is reached with minimum fuel consumption.;that a given altitude is reached within minimum distance.;;;;
FPP-043 - The angle of descent is defined as...;the ratio between the change in height and the horizontal distance travelled within the same time, expressed in percent [%].;the angle between a horizontal plane and the actual flight path, expressed in degrees [°].;the ratio between the change in height and the horizontal distance travelled within the same time, expressed in degrees [°].;the angle between a horizontal plane and the actual flight path, expressed in percent [%].;the angle between a horizontal plane and the actual flight path, expressed in degrees [°].;;;;
"FPP-044 - The term ""steady flight"" is defined as...";flight with a steady power setting without changing course.;climb or descent with a constant climb or descent rate in calm weather conditions.;unaccelerated flight. The four forces thrust, drag, lift, and weight are in equilibrium.;flight in smooth air without turbulence and a perfectly trimmed aircraft.;unaccelerated flight. The four forces thrust, drag, lift, and weight are in equilibrium.;;;;
FPP-045 - The speed Vy is defined as...;best speed of climb.;best angle of climb.;best distance of climb.;best rate of climb.;best rate of climb.;;;;
FPP-046 - The speed VFE is defined as...;stalling or minimum steady flight speed with the flaps retracted.;maximum flap extended speed.;stalling or minimum steady flight speed with the flaps extended.;maximum landing gear extended speed.;maximum flap extended speed.;;;;
FPP-047 - The speed VS0 is defined as...;maximum landing gear extended speed.;stalling speed or minimum steady flight speed obtained in a specific configuration.;stalling speed or minimum steady flight speed in landing configuration.;never-exceed speed.;stalling speed or minimum steady flight speed in landing configuration.;;;;
FPP-048 - The beginning of the green arc (2) indicates which airspeed?;VS1: Stall speed with flaps up;VS0: Stall speed in landing configuration;VFE: Maximum flap extended speed;VNO: Maximum speed for normal operations;VS1: Stall speed with flaps up;static/images/fpp/pfp-008.png;;;
FPP-049 - The end of the green arc (4) indicates which airspeed?;VNO: Maximum speed for normal operations;VNE: Never-exceed speed;VFE: Maximum flap extended speed;VS1: Stall speed with flaps up;VNO: Maximum speed for normal operations;static/images/fpp/pfp-008.png;;;
FPP-050 - The red marking at the end of the yellow arc (5) indicates which airspeed?;VNO: Maximum speed for normal operations;VFE: Maximum flap extended speed;VS1: Stall speed with flaps up;VNE: Never-exceed;VNE: Never-exceed;static/images/fpp/pfp-008.png;;;
FPP-051 - Which climb speed may be used to optimize the rate of climb (e.g. to reach a desired altitude within minimum time)?;Vy, the best angle of climb speed;Vy, the best rate of climb speed;Vx, the best rate of climb speed;Vx, the best angle of climb speed;Vy, the best rate of climb speed;;;;
FPP-052 - For a take-off from runway 22 and a reported wind of 250°/10 kt, the longitudinal wind component equals...;9 kt tailwind.;5 kt tailwind.;9 kt headwind.;5 kt headwind.;9 kt headwind.;;;;
FPP-053 - Given the following conditions, the take-off distance equals... Outside air temperature: -20° C, Pressure Altitude: 5000 ft, Aeroplane mass: 750 kg, Headwind: 10 kt;450 m.;380 m.;410 m.;310 m.;380 m.;static/images/fpp/pfp-009.png;;;
FPP-054 - A pilot wants to take off on runway 36, the reported wind is 240 degrees, 12 knots. What is the value of the wind components acting on the aircraft on take-off and landing?;Crosswind from the right 10.4 kt., Tailwind 6 kt.;Crosswind from the left 10.4 kt., Tailwind 6 kt.;Crosswind from the left 6 kt., Tailwind 10.4 kt.;Crosswind from the right 6 kt., Headwind 10.4 kt.;Crosswind from the left, 10.4 kt., Tailwind 6 kt.;;;;
FPP-055 - What is the take-off distance at 750 kg take-off mass, standard (ISA) conditions at an elevation of 4000 ft with 5 kt tailwind?;900 m;320 m;630 m;480 m;900 m;static/images/fpp/pfp-009.png;;;
FPP-056 - What is the take-off distance at 705 kg take-off mass, OAT 20° C, QNH 1013 hPa at an elevation of 3500 ft with 5 kt tailwind?;720 m;880 m;790 m;820 m;880 m;static/images/fpp/pfp-009.png;;;
FPP-057 - A pilot wants to take off on runway 36, the reported wind is 240 degrees 12 knots. What are the wind components acting on the aircraft on take-off and landing?;Crosswind from the right 10.4 kt., Tailwind 6 kt.;Crosswind from the right 6 kt., Headwind 10.4 kt.;Crosswind from the left 10.4 kt., Tailwind 6 kt.;Crosswind from the left 6 kt., Tailwind 10.4 kt.;Crosswind from the left, 10.4 kt., Tailwind 6 kt.;;;;
FPP-058 - Given the following conditions, the fuel consumption equals... Pressure altitude: 2000 ft, Temperature: 31° C, RPM: 2400;19.5 l/h.;19.1 l/h.;21.7 l/h.;22.8 l/h.;19.5 l/h.;static/images/fpp/pfp-012.png;;;
FPP-059 - Given the following conditions, the climb speed equals... Outside air temperature: -20° C, Pressure altitude: 10000 ft;200 ft/min.;350 ft/min.;390 ft/min.;450 ft/min.;390 ft/min.;static/images/fpp/pfp-011.png;;;
FPP-060 - What range can be achieved at the following conditions? Outside air temperature: 6° C, Pressure Altitude: 6000 ft, Power: 65 %;457 NM;503 NM;444 NM;482 NM;482 NM;static/images/fpp/pfp-013.png;;;
FPP-061 - Given the following information, what range can be achieved? Outside air temperature: 22° C, Pressure altitude: 2000 ft, Power: 55 %;550 NM;480 NM;450 NM;500 NM;500 NM;static/images/fpp/pfp-013.png;;;
FPP-062 - Given the following conditions, the TAS equals... Outside air temperature: 10° C, Pressure altitude: 6000 ft, Power: 65 %;96 kt.;92 kt.;88 kt.;100 kt.;92 kt.;static/images/fpp/pfp-014.png;;;
FPP-063 - Given the following conditions, the TAS equals... Outside air temperature: -2° C, Pressure altitude: 8000 ft, Power: 75 %;104 kt.;100 kt.;95 kt.;110 kt.;104 kt.;static/images/fpp/pfp-014.png;;;
FPP-064 - Which maximum rate of climb can the aircraft reach at 9000ft pressure altitude and OAT of 12° C?;200 ft/min;250 ft/min;350 ft/min;300 ft/min;200 ft/min;static/images/fpp/pfp-011.png;;;
FPP-065 - Which is the maximum rate of climb for the aircraft at 6500 ft pressure altitude and an OAT of 0° C?;480 ft / min;400 ft / min;520 ft / min;800 ft / min;480 ft / min;static/images/fpp/pfp-011.png;;;
FPP-066 - What is the true airspeed (TAS) [kt] and fuel consumption [l/h] for cruise flight with 60 % power in flight level 60 under the following conditions? Temperature: ISA - 20° C, QNH: 980 hPa;96 kt., 19.1 l/h.;95 kt., 19.6 l/h.;110 kt., 25.1 l/h.;95,75 kt., 19.8 l/h.;95 kt., 19.6 l/h.;static/images/fpp/pfp-012.png;;;
FPP-067 - What is the true airspeed (TAS) [kt] and fuel consumption [l/h] for cruise flight with 70 % power in flight level 60 under the following conditions? Temperature: ISA - 20° C, QNH: 980 hPa;110 kt., 23.9 MEDIA;100 kt., 19.3 l/h.;95 kt., 19.6 l/h.;105 kt., 21.5 l/h.;110 kt., 23.9 l/h.;static/images/fpp/pfp-012.png;;;
FPP-068 - What is the fuel flow and the true airspeed for cruise flight with 60 % power in flight level 85 at an OAT of -25° C?;Fuel flow: 17 l., TAS: 81 kt.;Fuel flow: 17.5 l., TAS: 83 kt.;Fuel flow: 20 l., TAS: 89 kt.;Fuel flow: 18.5 l., TAS: 85 kt.;Fuel flow: 18.5 l., TAS: 85 kt.;static/images/fpp/pfp-014.png;;;
FPP-069 - At which airspeed do you climb to flight level (FL) 75 after a departure from an airfield which is located at a pressure altitude of 3000 ft with an initial mass of 3000 lbs? OAT at airfield: 25° C, OAT in FL 75: 0° C;90 kt;120 kt;110 kt;100 kt;110 kt;static/images/fpp/pfp-023.png;;;
FPP-070 - What is the required fuel to climb from FL 65 to FL 95 under the following conditions? Aircraft mass: 3000 lb., OAT in FL 65: -5° C, OAT in FL 95: -15° C;1 GAL;2 GAL;6 GAL;3 GAL;1 GAL;static/images/fpp/pfp-023.png;;;
FPP-071 - What is the required distance to climb from FL 65 to FL 95 under the following conditions: Aircraft mass: 3000 lb., OAT in FL 65: -5° C, OAT in FL 95: -15° C;6 NM;3 NM;16 NM;10 NM;6 NM;static/images/fpp/pfp-023.png;;;
FPP-072 - What is the required distance to climb to flight level (FL) 75 after a departure from an airfield which is located at a pressure altitude of 3000 ft with an initial mass of 3000 lbs? OAT at airfield: 25° C, OAT in FL 75: 0° C;10 NM;6 NM;4 NM;7 NM;7 NM;static/images/fpp/pfp-023.png;;;
"FPP-073 - The term ""maximum elevation figure"" (MEF) is defined as...";the highest elevation within an area covering 30 minutes of latitude and 30 minutes of longitude.;the highest elevation within an area covering 30 minutes of latitude and 30 minutes of longitude plus a safety margin, rounded to the next higher 100 ft.;the highest elevation within an area covering 30 minutes of latitude and 30 minutes of longitude plus a safety margin of 1000 ft (305 m), rounded to the next higher 100 ft.;the highest elevation within an area covering 1 degree of latitude and 1 degree of longitude plus a safety margin, rounded to the next lower 100 ft.;the highest elevation within an area covering 30 minutes of latitude and 30 minutes of longitude plus a safety margin, rounded to the next higher 100 ft.;;;;
"FPP-074 - What is the purpose of ""interception lines"" in visual navigation?";To visualize the range limitation from the departure aerodrome;They help to continue the flight when flight visibility drops below a VFR minima;To mark a the next point available in the -route en route during flight;They are used to intercept recognizable guidance upon a possible loss of landing;They are used to recognizable landing as easy guidance after a possible loss of landing;;;;
FPP-075 - The VFR semicircular rules are based on the...;true course (TC).;magnetic heading (MH).;magnetic course (MC).;true heading (TH).;magnetic course (MC).;;;;magnetic course (MC).
FPP-076 - What is the lowest possible VFR flight level if a true course of 181° is selected and a variation of 3 ° east exists?;FL 050;FL 060;FL 055;FL 065;FL 055;;;;
"FPP-077 - The upper limit of LO R 16 equals...
See annex (PFP-056) ";FL150.;1 500 m MSL.;1 500 ft MSL.;1.500 ft GND.;1 500 ft MSL.;static/images/fpp/pfp-056.png;;;
"FPP-078 - The upper limit of LO R 4 equals...
See annex (PFP-030) ";4.500 ft AGL;4.500 ft MSL.;1.500 ft MSL.;1.500 ft AGL.;4.500 ft MSL.;;;;
"FPP-079 - How much taxi fuel must be consumed before take-off to reduce the aircraft mass to
the maximum take-off mass?
Maximum ramp mass (MRM): 1150 kg
Actual ramp mass: 1148 kg
Maximum take-off mass (MTOM): 1145 kg ";2 L;3 L;5 L;4 L;4 L;;;;
"FPP-080 - Considering the following fuel data, how much trip fuel is required?
Fuel for start-up and taxi: 5 L
Fuel for take-off and climb: 12 L
Fuel for cruise flight: 25 L
Fuel for descent, approach and landing: 7 L
Fuel for taxi and parking: 3 L
Fuel to alternate: 13 L
Final reserve fuel: 10 L";75 L;52 L;49 L;44 L;44 L;;;;
"FPP-081 - According to the aeronautical chart, Friesach/Hirt (LOKH) has a 707 m grass runway.
Prevailing runway is 17 due to a surface wind of 18010KT. The required landing
distance for your aircraft under present conditions is 550 m. Considering the NOTAM
below ,is it safe to plan LOKH as an alternate aerodrome?
See figure (PFP-026)";Don't know.;Maybe;Yes.;No.;No.;static/images/fpp/pfp-026.png;;;
"FPP-082 - Up to which altitude is an overflight prohibited according to the NOTAM?
See figure (PFP-024)";Height 9500 ft;Altitude 9500 ft MSL;Altitude 9500 m MSL;Flight Level 95;Altitude 9500 ft MSL;static/images/fpp/pfp-024.png;;;
FPP-083 - The EOBT (estimated time of departure time) is specified in the HACH flight plan as...;Coordinated Universal Time (UTC).;Standard Time (ST).;Local Mean Time (LMT).;Central European Time (CET).;Coordinated Universal Time (UTC).;;;;
"FPP-084 - What is the nature of the flight shown in the given ATC flight plan?
See annex (PFP-051a)";Night flight under visual flight rules.;Flight under instrument flight rules.;Traffic pattern under visual flight rules.;Border crossing flight.;Night flight under visual flight rules.;static/images/fpp/pfp-051a.png;;;
"FPP-085 - The specified speed in the ATS flight plan equals:
See annex (PFP-051) ";1000 kt.;100 m/h.;100 km/h.;100 kt.;100 kt.;static/images/fpp/pfp-051.png;;;
FPP-086 - What must be considered for cross-border flights?;Transmission of hazard reports;Regular location messages;Approved exceptions;Requires flight plans;Requires flight plans;;;;
FPP-087 - During a flight, a flight plan can be filed at the...;Flight Information Service (FIS).;Search and Rescue Service (SAR);next airport operator en-route;Aeronautical Information Service (AIS).;Flight Information Service (FIS).;;;;
"FPP-088 - In comparison to the true airspeed in still air conditions, the TAS in a strong tailwind
will be";the same for maximum range;significantly lower for maximum endurance.;slightly lower for maximum range;slightly higher for maximum endurance.;slightly lower for maximum range;;;;
FPP-089 - What happens to the true airspeed at a constant indicated airspeed during a climb? ;It decreases;It increases;It remains constant below 5000 ft;It remains constant above 5000 ft;It increases;;;;
"FPP-090 - Given the following data:
Take-Off fuel = 200 lbs
Alternate fuel = 40 lbs
Final reserve fuel = 30 lbs
After 25 minutes the remaining fuel is 120 lbs.
Assuming that fuel flow will remain unchanged,
the remaining time to the destination should not exceed:";37.5 min;20.0 min;15.6 min;59.4 min;15.6 min;; ;;
"FPP-091 - Given the following data for a VFR flight:
Take-off fuel: 180 kg including reserve fuel, which is 30% of take off fuel.
After half of the distance the remaining fuel is 100 kg.
Assume that cruise conditions will remain unchanged.
Determine the remaining fuel at the destination:";80 kg;40 kg;10 kg;20 kg;20 kg;;;;
"FPP-092 - During a VFR flight the remaining usable fuel at a checkpoint is 80 USG.
Reserve fuel is 20 USG, remaining flight time according to flight plan is 2h 20min.
What is the highest acceptable fuel flow (FF) for the rest of the trip?";FF = 8.6 USG/h;FF = 42.9 USG/h;FF = 25.7 USG/h;FF = 34.3 USG/h;FF = 25.7 USG/h;;;;
"FPP-093 - Planning a flight from EDWF (Leer Papenburg) to EDWH (Oldenburg Hatten),
the following conditions apply:
Cruise level = FL 75
Temperature = ISA
Cruise weight = 3400 lbs
Power setting = 23.0 in. HG @ 2300 RPM
Determine True Airspeed (TAS) and Fuel Flow (FF):";"TAS = 145 kt
FF = 71.1 GPH";"TAS = 160 kt
FF = 12.3 GPH";"TAS = 160 kt
FF = 11.9 GPH";"TAS = 145 kt
FF = 11.9 GPH";"TAS = 160 kt
FF = 11.9 GPH";static/images/fpp/pfp-anlage21.png;;;
"FPP-094 - Planning a flight from EDWH (Oldenburg Hatten) to EDWF (Leer Papenburg),
the following conditions apply:
Cruise level = FL 65
Temperature = ISA+20
Cruise weight = 3400 lbs
Power setting = 23.0 in. HG @ 2300 RPM
What Indicated Airspeed (IAS) and Fuel Flow (FF) can be expected?";"IAS = 142 kt
FF = 11.5 GPH";"IAS = 145 kt
FF = 11.9 GPH";"IAS = 158kt
FF = 11.5 GPH";"IAS = 150 kt
FF = 12.3 GPH";"IAS = 142 kt
FF = 11.5 GPH";static/images/fpp/pfp-anlage21.png;;;
"FPP-095 - For planning a VFR flight, the following data are given:
Flight time with planning ""overhead-overhead"" = 2h 43min
Pressure Altitude = 6.500 ft
Temperature = ISA-20
Power setting = 2300 RPM
Taxi Fuel = 2 USG
Additional time for climb = 7 min,
Additional time for approach and landing = 10 min
The reserve fuel has to be 30% of trip fuel.
Determine the minimum block fuel:";47.3 USG;50.4 USG;43.8 USG;39.2 USG;50.4 USG;static/images/fpp/pfp-anlage21.png;;;
"FPP-096 - For planning a VFR flight, the following data are given:
Flight time with planning ""overhead-overhead"" = 2h 42min
Pressure Altitude = 7.500 ft
Temperature = ISA
Power setting = 2300 RPM
Taxi Fuel = 2 USG
Additional time for climb = 8 min,
Additional time for approach and landing = 10 min
The reserve fuel has to be 30% of trip fuel.
Determine the minimum block fuel:";51.8 USG;37.7 USG;46.4 USG;48.4 USG;48.4 USG;static/images/fpp/pfp-anlage21.png;;;
"FPP-097 - Given the following data for a VFR flight:
Trip fuel = 70 US gallons
Contingency fuel = 5% of trip fuel
Alternate and final reserve fuel = 20 US gallons
Usable fuel at take-off = 95 US gallons
After half of the distance you read that you have consumed 40 US gallons.
Assume that fuel flow remains unchanged.
Which statement is correct? ";Upon landing 15.0 US gallons will remain in addition to alternate and final reserve fuel.;Upon landing 5.0 US gallons will remain in addition to alternate and final reserve fuel.;Upon landing, a total of 40.0 US gallons will remain.;"The remaining fuel is insufficient for a landing at destination with alternate and final reserve fuel
remaining.";"The remaining fuel is insufficient for a landing at destination with alternate and final reserve fuel
remaining.";;;;
"FPP-098 - Given the following data for a VFR flight:
Trip fuel = 70 US gallons
Contingency fuel = 5% of trip fuel.
Alternate and final reserve fuel = 20 US gallons
Usable fuel at take-off = 90 US gallons
After half of the distance you read that you have consumed 30 US gallons.
Assume that fuel flow remains unchanged.
Which statement is correct?";The remaining fuel is insufficient for a landing at destination with alternate and final reserve fuel remaining.;Upon landing 30.0 US gallons will remain in addition to alternate and final reserve fuel.;Upon landing 10.0 US gallons will remain in addition to alternate and final reserve fuel.;Upon landing a total of 10.0 US gallons will remain;Upon landing 10.0 US gallons will remain in addition to alternate and final reserve fuel.;;;;
FPP-099 - According ICAO, what symbol indicates a group of unlighted obstacles?;C;B;A;D;C;static/images/fpp/pfp-061.png;;;
"FPP-100 - According ICAO, what symbol indicates a civil airport (not international airport)
with paved runway?";D;A;B;C;A;static/images/fpp/pfp-062.png;;;
FPP-101 - According ICAO, what symbol indicates a general spot elevation?;B;C;A;D;C;static/images/fpp/pfp-063.png;;;
FPP-102 - How does the air temperature influence the performance of a piston engine?;Lower temperature corresponds to higher air density,this leads to lower engine performance;Higher temperature corresponds to lower air density,this leads to lower engine performance;Higher temperature corresponds to higher air density,this leads to higher motor performance; Lower temperature corresponds to lower air density,this leads to higher motor performance;Higher temperature corresponds to lower air density,this leads to lower engine performance;;;;
